Scan_ID,Location,Run,ASUS,BBA-1028,CI3D,CI3D_5G,ConnLab,ConnLab-Guest,IB-9F,Library-Office,MUTEC,NTUST-PEAP,NTUST-UAM,RB501,ROOM-810_ç°æ§,TR-1021_5G,Yie & Esther,Yie Office,eduroam
6,Stairs/RightEnd,2,-100.0,-100.0,-100.0,-100.0,-98.0,-100.0,-100.0,-100.0,-100.0,-87.11111111111111,-91.83333333333333,-97.0,-88.0,-91.0,-89.0,-89.0,-91.46153846153847
6,Stairs/RightEnd,3,-92.0,-97.0,-100.0,-100.0,-100.0,-94.0,-100.0,-93.0,-100.0,-86.25,-89.92307692307692,-83.5,-100.0,-96.0,-89.0,-87.0,-89.75
6,Stairs/RightEnd,4,-100.0,-83.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-85.7,-87.72727272727273,-90.0,-100.0,-95.0,-76.0,-78.0,-88.46666666666667
6,Stairs/RightEnd,5,-100.0,-85.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-84.83333333333333,-88.9,-95.0,-100.0,-90.0,-91.0,-89.0,-89.7
6,TopPicks/Audiovisual,1,-100.0,-100.0,-100.0,-94.0,-81.5,-80.0,-100.0,-81.5,-100.0,-79.45,-80.94444444444444,-100.0,-100.0,-100.0,-100.0,-100.0,-82.55
6,TopPicks/Audiovisual,2,-100.0,-100.0,-100.0,-100.0,-86.0,-79.0,-100.0,-87.0,-100.0,-74.46153846153847,-74.3076923076923,-100.0,-100.0,-100.0,-100.0,-100.0,-74.5
6,TopPicks/Audiovisual,3,-100.0,-100.0,-100.0,-95.0,-86.0,-86.0,-100.0,-86.0,-100.0,-74.63636363636364,-76.41666666666667,-100.0,-100.0,-100.0,-100.0,-100.0,-79.92307692307692
6,TopPicks/Audiovisual,4,-100.0,-100.0,-100.0,-94.0,-83.5,-83.0,-100.0,-81.5,-100.0,-68.0,-73.64285714285714,-100.0,-94.0,-100.0,-89.0,-90.0,-74.61538461538461
6,TopPicks/Audiovisual,5,-100.0,-100.0,-100.0,-94.0,-87.0,-87.0,-95.0,-86.0,-100.0,-72.36363636363636,-75.0,-100.0,-100.0,-100.0,-100.0,-100.0,-73.0909090909091
7,Hallway/LeftEnd,1,-100.0,-91.0,-100.0,-100.0,-82.0,-82.5,-92.0,-82.5,-100.0,-82.4,-84.2,-93.0,-84.5,-89.0,-83.0,-92.0,-85.25
